leiden_10.0,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
55,0.0,0.0,38.70967741935484,24.193548387096776,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25806451612903,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1.6129032258064515,59.67741935483871,32.25806451612903,0.0,0.0,0.0,0.0,6.451612903225806,0.0,0.0
57,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,3.3333333333333335,26.666666666666668,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,5.084745762711865,0.0,0.0,0.0,3.389830508474576,0.0,0.0,0.0,0.0,76.27118644067797,15.254237288135593,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,1.9230769230769231,57.692307692307686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.384615384615385,0.0,0.0
6,0.0,0.8064516129032258,0.0,0.0,0.0,0.0,50.0,8.870967741935484,40.32258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,92.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,19.642857142857142,0.0,0.0,0.0,7.142857142857142,28.57142857142857,0.0,0.0,0.0,3.571428571428571,41.07142857142857
62,0.0,0.0,0.0,0.0,0.0,0.0,1.7857142857142856,67.85714285714286,26.785714285714285,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,73.07692307692307,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,1.9607843137254901,0.0,0.0,0.0,58.82352941176471,39.21568627450981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.450980392156865,72.54901960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,7.8431372549019605,74.50980392156863,0.0,0.0,0.0,0.0,15.686274509803921,0.0,0.0,0.0,1.9607843137254901,0.0
67,0.0,0.0,0.0,2.0,0.0,0.0,86.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,56.00000000000001,36.0,0.0,0.0,0.0,2.0,2.0
69,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.0,0.0,0.0,0.0,0.0,0.0
7,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.19354838709677,19.35483870967742,0.0,0.0,0.0,0.0,1.6129032258064515
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86956521739131,19.565217391304348,0.0,0.0,0.0,2.1739130434782608,17.391304347826086
75,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,26.190476190476193,59.523809523809526,0.0,0.0,0.0,7.142857142857142,2.380952380952381
76,0.0,0.0,0.0,5.405405405405405,0.0,0.0,16.216216216216218,2.7027027027027026,0.0,0.0,0.0,75.67567567567568,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,88.88888888888889,0.0,0.0,0.0,0.0,0.0
78,0.0,11.11111111111111,0.0,0.0,0.0,0.0,88.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,5.555555555555555,0.0,0.0,8.333333333333332,77.77777777777779,5.555555555555555,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0
8,0.0,0.0,0.0,6.504065040650407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4959349593496,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.121212121212121,87.87878787878788,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,96.66666666666667,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.814814814814813,85.18518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,34.78260869565217,21.73913043478261,30.434782608695656,0.0,0.0,8.695652173913043,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
