,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_0.3,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
04_59_42__s1,3,5748.0,2307,04_59_42__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2307,5748,11865,4,59,42,A4,E11,D6,2307,2307,7.744136627627991,3287.6514995137222,8.098232881168979,1.0078614048647125,0.6970701779656738,0.030655968402179663,43.86869637700789,3.8037403662341642,1.3343475238630533,0.011067193675889327,False,False,3287.6514995137222,3,14,1,1,13,12,70,Lateral Mesoderm
04_59_54__s1,3,5081.0,1599,04_59_54__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1599,5081,10625,4,59,54,A4,E11,E6,1599,1599,7.3777589082278725,2421.0771055898313,7.792380759109945,1.5966024947665352,0.9542038577255522,0.06594595814731663,30.5045077663681,3.450130639287456,1.259956062363263,0.005852231163130945,False,False,2421.0771055898313,2,6,1,1,10,6,15,Anterior Paraxial Mesoderm
04_59_90__s1,3,8653.0,2605,04_59_90__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2605,8653,17559,4,59,90,A4,E11,H6,2605,2605,7.8655717576847906,3275.21291072185,8.094443433923969,0.7681009094378238,0.5699060380605911,0.02345193825181081,13.344224048228291,2.6633473558286638,0.40743073540483976,0.03021148036253776,False,False,3275.21291072185,1,17,2,2,0,15,22,Goblet Cell
04_60_07__s1,3,3803.0,1953,04_60_07__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1953,3803,7860,4,60,7,A4,E12,A7,1953,1953,7.577633832602728,3207.5185062776445,8.073564585064739,0.0,0.0,0.0,23.549404415157824,3.2006875938712116,0.7341938750803072,0.027263875365141185,False,False,3207.5185062776445,0,1,0,0,3,2,16,Inner Neural Plate
04_60_28__s1,3,4761.0,2158,04_60_28__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2158,4761,10007,4,60,28,A4,E12,C4,2158,2158,7.677400430514807,3267.0988146900418,8.09196369257602,3.394592512027434,1.4803748105764771,0.10390235204286247,41.48157541695241,3.7490704623324618,1.2696761796868967,0.021917808219178082,False,False,3267.0988146900418,4,5,0,0,7,5,26,Neural Crest
04_60_31__s1,3,4368.0,1948,04_60_31__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1948,4368,9199,4,60,31,A4,E12,C7,1948,1948,7.575071699507561,3103.9701677294365,8.040759386504817,0.0,0.0,0.0,28.448505107763555,3.3826431484616584,0.9165199267547639,0.009237875288683603,False,False,3103.9701677294365,0,1,0,0,3,2,1,Eye Primordium
04_60_37__s1,3,3944.0,1879,04_60_37__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1879,3944,8327,4,60,37,A4,E12,D1,1879,1879,7.539027055823995,3080.8783090504962,8.033294530691219,5.31152000653799,1.8423765360604634,0.17240278497643619,39.120390903248605,3.6918847063974303,1.2697804644969966,0.013496932515337425,False,False,3080.8783090504962,4,5,0,0,7,5,40,Inner Neural Plate Border
04_60_63__s1,3,6322.0,2169,04_60_63__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2169,6322,13148,4,60,63,A4,E12,F3,2169,2169,7.682482446534506,3054.1654537768713,8.024589028494953,5.690869663521751,1.900743860238925,0.18633141359399025,7.682451059953845,2.1613038689894943,0.2515401073132269,0.015037593984962407,False,False,3054.1654537768713,1,0,2,2,0,0,3,Goblet Cell
04_60_67__s1,3,5710.0,2253,04_60_67__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2253,5710,11985,4,60,67,A4,E12,F7,2253,2253,7.720461694599722,3233.1164109498036,8.081511035453902,0.0,0.0,0.0,18.492135873963413,2.9700110957123207,0.5719601005189576,0.0189010989010989,False,False,3233.1164109498036,5,8,2,4,8,8,37,Outer Neural Plate
04_60_68__s1,3,6844.0,2237,04_60_68__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2237,6844,14291,4,60,68,A4,E12,F8,2237,2237,7.71333788887187,3070.4308087316176,8.029898793484422,1.8012443085394685,1.0300637143734945,0.05866422078026097,6.7704029018844505,2.050322016559591,0.2205033535564762,0.012505042355788625,False,False,3070.4308087316176,1,0,2,2,0,0,29,Outer Epidermis
04_60_78__s1,3,6366.0,2470,04_60_78__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2470,6366,13240,4,60,78,A4,E12,G6,2470,2470,7.81237820598861,3428.2348186928775,8.140092430343651,5.013598860721335,1.7940233814307474,0.1462443247289848,12.606113748266068,2.6105192320427126,0.36771441908032854,0.04860267314702309,False,False,3428.2348186928775,8,13,3,4,12,11,93,Midgut Primordium
04_60_86__s1,3,6686.0,2429,04_60_86__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2429,6686,13780,4,60,86,A4,E12,H2,2429,2429,7.795646536334594,3236.1696207459618,8.082454653154542,5.042340321250226,1.7987914073051177,0.15581199109359192,14.187882886069985,2.7204979313884166,0.43841592217899783,0.02068345323741007,False,False,3236.1696207459618,1,0,2,2,0,0,29,Outer Epidermis
04_61_35__s1,3,6521.0,2481,04_61_35__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2481,6521,13567,4,61,35,A4,F1,C11,2481,2481,7.8168199657645525,3333.206837428324,8.111990100207144,6.067936521833796,1.955568573352292,0.1820450040392754,37.46353469186617,3.6497106416023137,1.1239486932281253,0.015037593984962407,False,False,3333.206837428324,2,3,1,1,4,4,7,Posterior Paraxial Mesoderm
04_61_40__s1,3,4828.0,2146,04_61_40__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2146,4828,10103,4,61,40,A4,F1,D4,2146,2146,7.671826797878781,3277.0674512011296,8.095009336029575,1.1220849820532008,0.7523990874828195,0.034240521404035426,29.062127628368156,3.4032661612069175,0.8868333673667943,0.019486271036315325,False,False,3277.0674512011296,7,10,0,0,6,18,61,Inner Neural Plate
04_61_43__s1,3,6401.0,2456,04_61_43__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2456,6401,13592,4,61,43,A4,F1,D7,2456,2456,7.806696372521179,3358.734439563563,8.119617213989576,0.0,0.0,0.0,21.198059506631083,3.1000048754465785,0.6311323472595106,0.015037593984962407,False,False,3358.734439563563,0,4,0,0,1,3,14,Early Neuron
04_61_58__s1,3,6744.0,2517,04_61_58__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2517,6744,13978,4,61,58,A4,F1,E10,2517,2517,7.831220214604293,3375.6984771966195,8.124653729220261,2.2870436928623876,1.189988587219957,0.0677502362344188,38.44107843293856,3.674807872994949,1.1387592432385227,0.021295876755777075,False,False,3375.6984771966195,3,14,1,1,13,12,38,Pronephric Primordium
04_61_65__s1,3,9344.0,3078,04_61_65__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3078,9344,19644,4,61,65,A4,F1,F5,3078,3078,8.0323601479245,3666.7854577707258,8.20734334141784,2.288707339976366,1.1904945817873198,0.06241726892218609,32.90897063933836,3.523679600009991,0.8974883046292496,0.01400329489291598,False,False,3666.7854577707258,4,11,0,3,11,9,42,Anterior Pre-placodal Region
04_61_71__s1,3,7411.0,2855,04_61_71__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2855,7411,15198,4,61,71,A4,F1,F11,2855,2855,7.957177323459475,3654.536243481791,8.203998076465178,0.8541368074152397,0.6174192548286421,0.023371961598100798,32.60684508549919,3.514729769003204,0.8922293531404035,0.03503184713375796,False,False,3654.536243481791,7,10,0,0,6,18,57,Inner Neural Plate
04_61_79__s1,3,8089.0,2520,04_61_79__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2520,8089,17035,4,61,79,A4,F1,G7,2520,2520,7.83241092718792,3178.193270191406,8.064382754970767,2.354219317183876,1.2102190510019837,0.07407413952022161,32.125776372085035,3.500311721679579,1.0108188407985104,0.021295876755777075,False,False,3178.193270191406,2,6,1,1,4,6,13,Posterior Paraxial Mesoderm
04_61_86__s1,3,5849.0,2513,04_61_86__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2513,5849,12225,4,61,86,A4,F1,H2,2513,2513,7.829630389150193,3511.572682465838,8.164104005944878,0.9968357003893997,0.6915637778339288,0.028387158419555147,19.737582890085385,3.0319476526193827,0.5620724579798698,0.007081625046589638,False,False,3511.572682465838,6,2,0,3,5,1,0,Inner Epidermis
04_61_95__s1,3,9758.0,2821,04_61_95__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2821,9758,20547,4,61,95,A4,F1,H11,2821,2821,7.945201132412759,3371.3390018226996,8.123361848416875,0.7054710112286368,0.5338413255046898,0.020925543555460516,12.028825531625424,2.5671642513586623,0.356796677080593,0.013496932515337425,False,False,3371.3390018226996,1,0,2,2,0,0,29,Midgut Primordium
04_62_03__s1,3,6471.0,2617,04_62_03__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2617,6471,13749,4,62,3,A4,F2,A3,2617,2617,7.870165946469845,3512.187297961957,8.164278966518367,1.4087191380675896,0.8790951282378267,0.04010945369812816,38.224246146293424,3.6692950797293395,1.0883316549910105,0.049723756906077346,False,False,3512.187297961957,0,1,0,0,3,22,67,Inner Neural Plate
04_62_26__s1,3,7496.0,2792,04_62_26__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2792,7496,15742,4,62,26,A4,F2,C2,2792,2792,7.934871565945177,3561.579505685605,8.17824014171331,2.1472737330497575,1.1465365965206218,0.06028992837649449,23.88286695076779,3.2141794923725655,0.6705695299695502,0.014516798009124842,False,False,3561.579505685605,0,1,0,0,3,2,44,Eye Primordium
04_62_40__s1,3,1992.0,1263,04_62_40__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1263,1992,4257,4,62,40,A4,F2,D4,1263,1263,7.142036574706803,2599.6374490720486,7.863511866679672,0.0,0.0,0.0,14.967243803165767,2.7705393614315574,0.575743506407341,0.009237875288683603,False,False,2599.6374490720486,4,5,0,0,7,5,20,Neural Crest
04_63_04__s1,3,5194.0,2211,04_63_04__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2211,5194,10949,4,63,4,A4,F3,A4,2211,2211,7.701652362642226,3266.0442950812317,8.091640969844397,8.876122978923604,2.290120023706295,0.27176982848307757,37.75052372807443,3.6571442712712328,1.1558484918568905,0.01201923076923077,False,False,3266.0442950812317,3,14,1,1,13,12,70,Lateral Mesoderm
04_63_06__s1,3,5502.0,2104,04_63_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2104,5502,11534,4,63,6,A4,F3,A6,2104,2104,7.652070746116482,3095.884596935745,8.038151916423177,0.0,0.0,0.0,14.21420255439772,2.7222293701710973,0.4591321836888462,0.016645326504481434,False,False,3095.884596935745,0,4,0,0,1,3,75,Inner Neural Plate
04_63_14__s1,3,14619.0,2925,04_63_14__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2925,14619,31375,4,63,14,A4,F3,B2,2925,2925,7.98139158158007,2950.8066493532424,7.990172685388692,3.5415076865659842,1.5132590464757052,0.12001829016286822,10.925385035574438,2.4786693243516407,0.3702507935573841,0.004282655246252676,False,False,2950.8066493532424,2,6,1,1,10,6,15,Ventral Mesoderm
04_63_30__s1,3,7402.0,2702,04_63_30__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2702,7402,15603,4,63,30,A4,F3,C6,2702,2702,7.902117546276448,3509.235366385253,8.163438370161977,3.4193396327194736,1.4859902805655534,0.09743830993706248,55.788498019714076,4.039333805568361,1.5897622186903912,0.011539992041384799,False,False,3509.235366385253,3,7,1,1,2,7,35,Ventral Mesoderm
04_63_33__s1,3,7570.0,2763,04_63_33__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2763,7570,15994,4,63,33,A4,F3,C9,2763,2763,7.92443418488756,3547.2636687931295,8.174213655435212,4.1280122963854655,1.6347181175065755,0.11637173556342717,31.880589870995685,3.492882510142498,0.8987375297602922,0.04642857142857144,False,False,3547.2636687931295,0,4,0,0,1,3,90,Inner Neural Plate
04_63_44__s1,3,3184.0,1772,04_63_44__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1772,3184,6479,4,63,44,A4,F3,D8,1772,1772,7.480428306074208,3081.529523672918,8.033505812826506,3.4061898227811693,1.4830103302440276,0.11053568679495512,49.6673231015825,3.925281188046525,1.6117750201654184,0.05323193916349809,False,False,3081.529523672918,4,5,0,0,7,5,78,Neural Crest
04_63_56__s1,3,6998.0,2795,04_63_56__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2795,6998,14874,4,63,56,A4,F3,E8,2795,2795,7.935945103353701,3670.205605639489,8.208275390002395,2.662413888392815,1.2981224623651608,0.0725412735543169,32.44283646797121,3.5098376072260615,0.8839514717682536,0.017196904557179708,False,False,3670.205605639489,6,2,0,3,5,1,0,Inner Epidermis
04_63_67__s1,3,11148.0,3535,04_63_67__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3535,11148,23106,4,63,67,A4,F3,F7,3535,3535,8.170751423757535,3893.3682078498036,8.267286739204474,1.280570457507004,0.8244256123323507,0.032891069869146194,24.94336964077759,3.2559160717925426,0.6406630020373312,0.05827814569536424,False,False,3893.3682078498036,5,9,2,2,9,16,17,Outer Epidermis
04_63_73__s1,3,10321.0,3565,04_63_73__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3565,10321,21429,4,63,73,A4,F3,G1,3565,3565,8.179199798423086,4050.8769923287114,8.306935507634513,4.587928020558537,1.7206085602377623,0.11325764838692604,34.63553648060676,3.573343355719331,0.8550132859180196,0.07835531419705197,False,False,4050.8769923287114,6,2,0,3,5,1,0,Inner Epidermis
04_63_75__s1,3,9670.0,2579,04_63_75__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2579,9670,20393,4,63,75,A4,F3,G3,2579,2579,7.855544677915663,2993.613976129898,8.004570612803493,3.5503316146788237,1.515200112654064,0.11859684124232485,21.13564966071249,3.097189415683943,0.7060245519041958,0.006666666666666666,False,False,2993.613976129898,2,6,1,1,10,6,15,Ventral Blood Island
04_64_01__s1,3,3604.0,1921,04_64_01__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1921,3604,7454,4,64,1,A4,F4,A1,1921,1921,7.561121589530238,3205.648486957469,8.07298158562759,5.864330431645404,1.9263385008354572,0.18293741361553123,28.996814719475953,3.401091200007615,0.9045537849035121,0.04233409610983982,False,False,3205.648486957469,4,11,0,3,11,9,69,Anterior Pre-placodal Region
04_64_12__s1,3,8576.0,2768,04_64_12__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2768,8576,18064,4,64,12,A4,F4,A12,2768,2768,7.926241523170962,3402.4561788764217,8.132546717493357,0.7729028206270896,0.5726182148888884,0.022716025717701437,43.95770124084255,3.805722075293486,1.291940261089814,0.023842917251051896,False,False,3402.4561788764217,3,14,1,1,13,12,71,Lateral Mesoderm
04_64_56__s1,3,4560.0,1782,04_64_56__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1782,4560,9395,4,64,56,A4,F4,E8,1782,1782,7.48605261786314,2801.6746889446445,7.938329486257789,2.3219108384844906,1.200540171121246,0.08287581879676134,3.482866257726736,1.5002626315198817,0.12431372819514201,0.025178147268408554,False,False,2801.6746889446445,1,0,2,2,0,0,8,Outer Epidermis
04_64_58__s1,3,4720.0,2062,04_64_58__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2062,4720,10053,4,64,58,A4,F4,E10,2062,2062,7.631916513071252,3184.3944420739203,8.06633140400355,1.1373983137032662,0.7595893481606856,0.035717884024521335,32.79513338081149,3.5203168093062245,1.0298703247155778,0.06526315789473683,False,False,3184.3944420739203,5,19,2,4,17,21,86,L/R Organizer Mesoderm
04_64_60__s1,3,3165.0,1508,04_64_60__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1508,3165,6507,4,64,60,A4,F4,E12,1508,1508,7.319202458767849,2735.583121729916,7.914465385320871,0.0,0.0,0.0,10.542941887385272,2.446074158173708,0.3854001658234451,0.030980192991366177,False,False,2735.583121729916,1,9,2,2,9,19,21,Outer Epidermis
04_64_66__s1,3,6294.0,2374,04_64_66__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2374,6294,13307,4,64,66,A4,F4,F6,2374,2374,7.772752716468742,3303.597168175171,8.103069859282302,2.8536004297387048,1.3490078878500358,0.08637858323734325,17.12749010395792,2.897429576350232,0.5184497150243879,0.05445227418321589,False,False,3303.597168175171,1,17,2,2,0,15,60,Outer Epidermis
04_64_72__s1,3,7409.0,2708,04_64_72__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2708,7409,15763,4,64,72,A4,F4,F12,2708,2708,7.904334842085095,3487.614926618975,8.157260067259447,0.8542918364420611,0.6175028638403288,0.024495016061599546,18.95484956882238,2.99347219995173,0.5434903212551025,0.04537418974661167,False,False,3487.614926618975,5,19,2,4,17,21,92,L/R Organizer Mesoderm
04_64_74__s1,3,6047.0,2210,04_64_74__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2210,6047,12679,4,64,74,A4,F4,G2,2210,2210,7.701200180857446,3131.5815476890466,8.049612719213195,1.460340317128723,0.900299680672364,0.046632677287499744,10.077319122835723,2.404899695620191,0.32179647789380705,0.0189010989010989,False,False,3131.5815476890466,1,0,2,2,0,0,29,Outer Epidermis
04_64_88__s1,3,5545.0,2164,04_64_88__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2164,5545,11816,4,64,88,A4,F4,H4,2164,2164,7.68017564043659,3171.569538312143,8.062297118438044,4.620072250105592,1.7263445197136382,0.14567147887806736,23.468156451290934,3.1973725354783546,0.7399540249015099,0.008358662613981762,False,False,3171.569538312143,8,13,3,4,12,11,93,Hindgut Primordium
04_64_91__s1,3,4235.0,1747,04_64_91__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1747,4235,8847,4,64,91,A4,F4,H7,1747,1747,7.466227556215481,2792.0797557936444,7.934900121138492,1.2123203926259831,0.7940419161306649,0.04341997717330188,25.458728245145647,3.275586094234138,0.9118195206393395,0.021917808219178082,False,False,2792.0797557936444,3,6,1,1,10,6,27,Anterior Paraxial Mesoderm
04_64_94__s1,3,9600.0,2575,04_64_94__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2575,9600,19927,4,64,94,A4,F4,H10,2575,2575,7.853993087224244,3132.7945009688174,8.049999849920162,0.713766467762681,0.5386935610459905,0.0227836989480781,13.856500417722675,2.6984375080363154,0.4423047989083723,0.023842917251051896,False,False,3132.7945009688174,8,13,3,4,12,11,49,L/R Organizer Mesoderm
04_65_35__s1,3,6732.0,2593,04_65_35__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2593,6732,14044,4,65,35,A4,F5,C11,2593,2593,7.860956364876389,3427.8566228442814,8.139982138478283,2.7313523317541772,1.3167707233784598,0.079681055314613,32.84863522865266,3.52189868033729,0.9582849822171483,0.0341925302472383,False,False,3427.8566228442814,0,4,0,0,1,3,14,Early Neuron
04_65_63__s1,3,3071.0,1624,04_65_63__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1624,3071,6645,4,65,63,A4,F5,F3,1624,1624,7.393263094763838,2924.660534638721,7.981275557979709,2.896785588689459,1.3601520052610712,0.09904689978138931,28.960020524161052,3.3998638437008886,0.9902010910725557,0.011539992041384799,False,False,2924.660534638721,4,5,0,0,7,5,20,Neural Crest
04_66_06__s1,3,3524.0,1874,04_66_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1874,3524,7414,4,66,6,A4,F6,A6,1874,1874,7.536363938404511,3140.697129750689,8.05251842007346,1.3448691767717065,0.8522296121849707,0.04282072168093659,25.07699717212729,3.2610535913238876,0.7984532139244487,0.021917808219178082,False,False,3140.697129750689,0,1,0,0,3,2,16,Early Neuron
04_66_11__s1,3,8074.0,2816,04_66_11__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2816,8074,16754,4,66,11,A4,F6,A11,2816,2816,7.943427767876373,3564.750488777806,8.179129826479258,0.8058254190490148,0.5910177831289829,0.02260538070156199,23.995893456122033,3.218711549620642,0.6731437033717654,0.062371487320082235,False,False,3564.750488777806,1,17,2,2,16,15,58,Outer Neural Plate Border
04_66_20__s1,3,3887.0,1826,04_66_20__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1826,3887,8068,4,66,20,A4,F6,B8,1826,1826,7.510430556378006,2993.027533026244,8.00437476100484,0.0,0.0,0.0,31.774531174034873,3.489651725170182,1.0616184055583249,0.03503184713375796,False,False,2993.027533026244,0,4,0,0,1,3,14,Early Neuron
04_66_26__s1,3,5296.0,2247,04_66_26__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2247,5296,11102,4,66,26,A4,F6,C2,2247,2247,7.717796211013582,3286.700208500515,8.097943574555806,2.1212790753486765,1.1382428778583833,0.0645413010247279,28.52820813849074,3.385346014554478,0.8679893610225592,0.003526093088857546,False,False,3286.700208500515,8,13,3,4,12,11,4,Hindgut Primordium
04_66_30__s1,3,9554.0,2813,04_66_30__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2813,9554,20076,4,66,30,A4,F6,C6,2813,2813,7.942362237674335,3343.2292501350953,8.11499152751717,0.0,0.0,0.0,19.557655770484587,3.023233415141008,0.5849929606141813,0.14188422247446084,False,False,3343.2292501350953,7,16,1,5,14,14,95,Notochord
04_66_54__s1,3,4337.0,2080,04_66_54__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2080,4337,9148,4,66,54,A4,F6,E6,2080,2080,7.640603826393634,3247.51395419129,8.085952925891254,2.3913214868218033,1.2212196645541007,0.07363544916367575,30.16791298964633,3.4393891357996034,0.9289540681021915,0.015037593984962407,False,False,3247.51395419129,0,12,0,0,1,10,83,Hindbrain Primordium
04_66_56__s1,3,7382.0,2632,04_66_56__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2632,7382,15419,4,66,56,A4,F6,E8,2632,2632,7.87587915949631,3438.151411651437,8.142980037276805,4.281952917037308,1.6642958999838882,0.12454230207914463,18.82906858761147,2.987148971565322,0.5476509418346809,0.019486271036315325,False,False,3438.151411651437,0,4,0,0,1,3,75,Inner Neural Plate
04_66_60__s1,3,8887.0,2678,04_66_60__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2678,8887,18498,4,66,60,A4,F6,E12,2678,2678,7.893198869544609,3266.0685428507613,8.091648391745467,4.391492749794369,1.6848222945916815,0.13445807067971974,9.110864973824132,2.3136105856361664,0.2789551062474576,0.006666666666666666,False,False,3266.0685428507613,7,16,1,5,14,14,5,Notochord
04_66_83__s1,3,4144.0,1612,04_66_83__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1612,4144,8533,4,66,83,A4,F6,G11,1612,1612,7.385851078125209,2627.3106942042887,7.874096597199588,0.0,0.0,0.0,29.335232369575298,3.4123098214794867,1.1165498025904321,0.008358662613981762,False,False,2627.3106942042887,2,3,1,1,4,4,50,Posterior Paraxial Mesoderm
04_66_91__s1,3,8240.0,2599,04_66_91__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2599,8240,17031,4,66,91,A4,F6,H7,2599,2599,7.8632667240095735,3337.4746565470086,8.11326929199968,2.7501887006918553,1.3218061589007961,0.08240328343158818,53.155352671015265,3.9918568175186473,1.592681837051324,0.015037593984962407,False,False,3337.4746565470086,3,15,1,1,2,13,18,Ventral Mesoderm
04_67_20__s1,3,6402.0,2381,04_67_20__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2381,6402,13089,4,67,20,A4,F7,B8,2381,2381,7.775695749915245,3265.4412643881146,8.09145637291238,0.0,0.0,0.0,53.18458356542711,3.992396431923761,1.6287104638947763,0.015565839293226757,False,False,3265.4412643881146,2,3,1,1,4,4,7,Posterior Paraxial Mesoderm
04_67_36__s1,3,2096.0,1082,04_67_36__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1082,2096,4208,4,67,36,A4,F7,C12,1082,1082,6.9874902470009905,2277.040256801362,7.731070815844554,0.0,0.0,0.0,8.764220264891907,2.278724711154995,0.3848952708988691,0.05827814569536424,False,False,2277.040256801362,0,4,0,0,1,3,80,Early Neuron
04_67_39__s1,3,4706.0,2136,04_67_39__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2136,4706,9633,4,67,39,A4,F7,D3,2136,2136,7.667158255319148,3273.5312829082163,8.093930018104066,0.0,0.0,0.0,18.545794745266996,2.972760160749617,0.5665378804259005,0.01400329489291598,False,False,3273.5312829082163,6,2,0,3,5,1,36,Pre-placodal Region
04_67_40__s1,3,8570.0,3071,04_67_40__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3071,8570,17563,4,67,40,A4,F7,D4,3071,3071,8.030084094267563,3740.1373795430122,8.227144956353118,3.5239284118977716,1.5093807340565615,0.09421922390263489,33.653407576504115,3.545396063556832,0.8997906804326008,0.039466370205669815,False,False,3740.1373795430122,5,8,2,4,8,8,54,Outer Neural Plate
04_67_43__s1,3,4089.0,1880,04_67_43__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1880,4089,8398,4,67,43,A4,F7,D7,1880,1880,7.53955882930103,3056.1239675596107,8.0252298730999,0.0,0.0,0.0,20.8662244624054,3.0849431843216,0.6827676064157694,0.03021148036253776,False,False,3056.1239675596107,5,8,2,4,8,8,56,Outer Neural Plate
04_68_06__s1,3,6099.0,2513,04_68_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2513,6099,12644,4,68,6,A4,F8,A6,2513,2513,7.829630389150193,3492.612347194077,8.158691536397438,4.36566918094159,1.68002109914162,0.12499724409578167,34.15943234720295,3.5598929278403144,0.9780482043661739,0.016645326504481434,False,False,3492.612347194077,4,11,0,3,11,9,42,Anterior Pre-placodal Region
04_68_19__s1,3,5740.0,2459,04_68_19__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2459,5740,11754,4,68,19,A4,F8,B7,2459,2459,7.807916628926408,3480.2300375857403,8.155140969392939,2.0174920653155644,1.1044260444303555,0.05797007794102922,41.24383521202241,3.7434584310154895,1.1850893408366059,0.029455816275586622,False,False,3480.2300375857403,3,15,1,1,2,13,18,Ventral Mesoderm
04_68_40__s1,3,4632.0,2086,04_68_40__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2086,4632,9650,4,68,40,A4,F8,D4,2086,2086,7.643482907077201,3231.359852000102,8.080967753789675,0.0,0.0,0.0,18.238529117335446,2.956914993112232,0.5644227183811303,0.047504509921828024,False,False,3231.359852000102,5,19,2,4,17,21,86,L/R Organizer Mesoderm
04_68_48__s1,3,4607.0,1999,04_68_48__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1999,4607,9713,4,68,48,A4,F8,D12,1999,1999,7.600902459542082,3113.6559607327167,8.043873979129238,6.632175007445859,2.0323728646280825,0.21300282019228456,23.830170905129748,3.212059482506043,0.765343737576002,0.019486271036315325,False,False,3113.6559607327167,0,4,0,0,1,3,14,Inner Neural Plate
04_68_56__s1,3,5509.0,2348,04_68_56__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2348,5509,11539,4,68,56,A4,F8,E8,2348,2348,7.761744984658913,3409.2734207686613,8.13454774910675,2.567685594667922,1.2719170927487915,0.07531474533623668,35.900189512555286,3.6082166868748997,1.0530158506460054,0.009686168151879115,False,False,3409.2734207686613,7,10,0,0,6,18,57,Inner Neural Plate
