notebook,stage,condition,region_annotation,cell_count,percent_of_final_annotated
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Ventral Mesoderm,658,7.6529
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Neural Plate 1,463,5.385
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Hindgut Primordium,390,4.5359
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Pharyngeal Mesoderm,379,4.408
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Foregut Primordium,377,4.3847
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Pre-placodal Region,372,4.3266
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Anterior Paraxial Mesoderm,359,4.1754
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Ciliated Epidermal Progenitor,298,3.4659
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Midgut Primordium,213,2.4773
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Notochord,211,2.4541
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Posterior Paraxial Mesoderm,208,2.4192
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,L/R Organizer Mesoderm,163,1.8958
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Lateral Mesoderm,124,1.4422
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Pronephric Primordium,93,1.0816
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Ventral Blood Island,92,1.07
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Dorsolateral Mesoderm,77,0.8956
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Cement Gland Primordium,67,0.7793
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Neural Plate Border 1,66,0.7676
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Hindbrain Primordium,40,0.4652
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Ionocyte,37,0.4303
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Pre-chordal Plate Mesoderm,30,0.3489
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12-MO_Xtrop_descriptive_section_paths.ipynb,Stage12.0,MO,Eye Primordium,22,0.2559
